algo,rtt_setting,bw_setting,run,ss_rtt_ms,ss_rtt_var_ms,ss_cwnd_bytes,ss_pacing_mbps,ip_tp_mbps,ip_mean_rtt_ms
vegas,100,10,3,101.606,1.417,1141720,108.0,16.42729805424317,102.379
vegas,10,100,3,11.398,0.732,494940,420.0,48.93253865637035,11.051
reno,10,100,2,50.391,1.618,128480,40.8,47.185562962573584,12.28
reno,100,100,1,101.717,0.193,128480,20.2,16.77644931626625,103.202
reno,50,50,2,50.602,0.095,128480,40.6,21.32071486225297,52.721
cubic,10,100,2,21.083,15.12,14600,11.1,44.389408087123655,11.111
vegas,10,500,5,10.489,0.025,557720,510.0,48.93116534995296,12.229
reno,100,50,3,101.646,0.43,128480,20.2,16.776289389616046,102.486
vegas,50,500,3,50.622,0.036,708100,134.0,21.32055211789434,51.643
bbr,100,50,3,100.836,0.138,157680,6.32,16.427193470277633,101.342
bbr,10,50,1,11.686,0.34,166440,61.0,46.13682265390401,11.905
cubic,10,50,4,43.511,34.951,14600,5.37,48.93307201586811,11.301
vegas,10,500,3,10.444,0.034,572320,526.0,46.83488346109365,14.718
cubic,100,100,3,125.104,43.684,14600,1.87,16.776954838736344,102.532
vegas,200,50,2,200.979,0.62,1332980,63.7,13.980545917081505,202.295
reno,100,10,5,101.081,0.672,129940,20.6,16.42523509402011,101.808
cubic,50,50,4,57.585,0.418,129940,21.7,21.67037274392894,51.658
reno,100,50,5,101.646,0.43,128480,20.2,16.776883258482037,101.202
reno,10,10,5,11.191,0.748,16060,13.8,20.970934211904346,19.439
reno,100,100,3,100.702,0.132,128480,20.4,16.427111337206842,103.413
reno,100,500,1,102.407,0.825,128480,20.1,16.427033585323255,102.598
bbr,100,10,1,100.709,0.156,151840,6.33,16.42732598002991,102.074
vegas,100,100,1,105.486,7.51,1226400,112.0,16.777030334197637,101.623
cubic,100,100,1,109.86,22.194,14600,2.13,16.776948128061555,101.718
reno,100,500,3,100.754,0.053,128480,20.4,16.42709491069124,103.127
vegas,100,500,5,100.319,0.089,547500,52.4,16.427094363141286,103.017
bbr,200,50,5,200.879,0.139,148920,3.17,13.98062280793623,201.145
vegas,50,100,5,51.56,0.5,1116900,208.0,21.319936696625106,53.269
reno,10,500,5,12.283,0.118,150380,196.0,42.98993509353784,11.306
cubic,200,10,4,213.916,47.094,14600,1.09,13.98061581782358,201.567
cubic,10,500,1,29.528,19.836,14600,7.91,46.4860837185185,11.291
vegas,100,500,1,100.806,0.183,830740,79.1,16.776462736823117,102.575
reno,50,50,4,51.24,0.247,128480,40.1,21.67029256457875,51.309
cubic,200,50,1,218.04,52.334,14600,1.07,13.980592983504295,201.76
cubic,10,100,5,31.303,21.243,14600,7.46,48.58354521459023,11.286
bbr,100,500,1,100.67,0.143,160600,6.33,16.427091077842324,101.91
bbr,50,100,3,50.655,0.35,169360,12.6,21.320785219753652,50.791
reno,50,50,3,50.602,0.095,128480,40.6,21.67000724647826,51.649
vegas,200,500,1,201.279,0.094,397120,18.9,13.980829718436365,202.389
cubic,200,10,1,213.776,39.796,14600,1.09,13.980651700476015,205.516
bbr,200,10,5,200.994,0.415,151840,3.17,13.9806186138678,214.159
bbr,200,50,4,200.894,0.25,151840,3.17,13.980676399032117,201.089
vegas,100,100,4,100.714,0.121,1010320,96.3,16.776346985226166,101.675
vegas,10,100,5,11.701,0.218,474500,389.0,49.28265145470758,11.687
cubic,100,50,3,115.604,31.419,14600,2.02,16.77675799450675,101.527
reno,10,10,2,11.191,0.748,16060,13.8,20.971053044552207,18.848
reno,50,500,4,50.457,0.027,129940,41.2,21.3202593264395,51.846
cubic,200,500,5,201.487,0.109,89060,4.24,13.980447591220807,211.502
cubic,50,100,5,50.719,0.359,128480,24.3,21.31927014877228,52.137
vegas,100,10,5,102.207,0.822,1261440,118.0,16.427264105375396,101.849
reno,100,10,3,101.081,0.672,129940,20.6,16.427177591153235,102.243
bbr,200,10,3,416.735,96.102,5840,2.54,13.980236498191918,212.391
vegas,100,500,3,100.319,0.089,547500,52.4,16.777063887954082,102.563
reno,200,500,1,202.628,0.042,128480,10.1,13.98052960700893,204.055
vegas,50,500,5,51.027,0.344,541660,102.0,21.320461863360343,52.004
cubic,200,500,3,201.15,0.081,128480,10.2,13.980294280197521,202.676
bbr,50,100,1,51.12,0.423,166440,12.6,21.320453335412388,50.893
reno,50,500,5,50.457,0.027,129940,41.2,21.664888688526624,51.68
bbr,100,100,1,100.976,0.36,160600,6.32,16.426942145669564,101.066
cubic,10,50,5,10.759,0.094,128480,115.0,43.34066458602288,11.632
vegas,50,50,2,51.002,0.614,1067260,201.0,21.320648058591175,52.406
cubic,10,100,3,10.696,0.174,129940,117.0,44.73888326430444,11.055
vegas,50,100,2,51.56,0.5,1116900,208.0,21.32039932523378,51.383
vegas,50,500,4,53.038,0.058,540200,97.8,20.97081118658189,55.205
bbr,50,100,2,52.243,2.835,163520,12.6,21.320816489903006,51.169
reno,200,100,2,200.639,0.064,128480,10.2,13.980201083650373,205.667
bbr,10,50,4,13.418,0.16,186880,61.2,47.1853537757547,13.236
reno,200,50,5,201.103,0.51,128480,10.2,13.980476483036384,202.323
bbr,100,10,3,100.69,0.139,154760,6.33,16.427155141409056,114.777
bbr,50,10,2,52.323,0.495,154760,12.5,20.971027879879088,53.197
cubic,50,50,5,57.585,0.418,129940,21.7,21.669600590880215,50.995
bbr,10,100,4,11.051,0.487,166440,60.1,44.73850448134272,11.749
bbr,200,50,3,201.74,1.568,151840,3.17,13.980593449510067,201.104
reno,200,100,1,200.899,0.182,128480,10.2,13.980663350727454,209.199
bbr,100,100,4,100.663,0.096,157680,6.32,16.42733802647703,100.802
reno,100,100,5,102.449,0.751,65700,6.16,16.427243845634067,103.399
cubic,200,100,4,200.767,0.14,89060,4.26,13.98060416765136,208.163
bbr,200,100,1,200.918,0.114,154760,3.17,13.980256069462905,201.138
reno,50,50,1,50.602,0.095,128480,40.6,21.670360464170166,51.401
bbr,200,500,3,201.01,0.547,154760,3.17,13.980544985076333,201.091
reno,10,50,2,20.159,0.498,65700,31.3,38.79676367240676,14.175
reno,10,500,3,18.71,1.526,128480,110.0,48.583726592058674,11.373
cubic,200,50,3,201.19,0.061,128480,10.2,13.980590187470327,202.21
cubic,50,10,4,67.866,26.183,14600,3.44,20.621690153042074,60.769
bbr,200,50,2,202.347,2.947,148920,3.17,13.98071787416226,201.195
bbr,50,500,4,50.545,0.09,166440,12.7,20.970904853457633,50.999
bbr,200,100,3,201.094,0.302,154760,3.17,13.980387943979306,201.204
cubic,100,500,2,101.023,0.021,91980,8.74,16.42701880159768,103.068
vegas,50,50,1,51.961,0.405,305140,56.4,20.62073680172176,60.112
vegas,10,500,2,15.911,1.026,405880,245.0,46.83571242645566,11.41
cubic,100,10,2,117.019,35.562,14600,2.0,16.427215920126574,103.024
reno,100,10,1,104.393,3.648,129940,19.9,16.77686927803492,101.289
bbr,10,10,3,21.809,2.183,49640,11.8,20.621446136199445,23.103
bbr,100,100,5,100.663,0.096,157680,6.32,16.427289293231603,100.837
bbr,10,100,5,10.407,0.052,195640,62.0,44.73858948326021,10.689
vegas,50,10,2,52.806,0.84,237980,43.3,20.621493564373054,56.627
bbr,200,50,1,200.636,0.436,151840,3.17,13.980698301598272,201.309
cubic,10,10,1,32.304,21.975,14600,7.23,20.970899261381863,18.759
bbr,100,50,5,100.816,0.139,157680,6.32,16.427269033428143,101.014
reno,50,500,1,51.503,0.16,129940,40.4,20.970975453670718,53.738
reno,200,500,3,202.203,0.483,128480,10.2,13.980385614019264,202.92
reno,200,100,4,200.639,0.064,128480,10.2,13.980089249433945,202.037
vegas,200,100,5,200.615,0.169,1137340,54.4,13.980885641244477,202.718
bbr,50,10,3,52.377,0.072,154760,12.5,20.9702387184143,53.025
bbr,50,10,5,52.337,0.547,146000,12.3,20.970729403501487,53.134
bbr,10,50,2,14.249,0.519,195640,62.7,46.835930990949855,13.544
bbr,200,10,1,201.041,0.364,154760,3.17,13.980594847527563,201.16
